DataMessageGUID,SensorID,Sensor Name,Date,Value,Formatted Value,Battery,,,,
a1d952ba-a212-48c2-9ab0-d7821864d958,316572,OB2017Tank1,8/30/2017 22:28,21.7,21.7° C,100,,,7/22/2017 10:46,22.7
3f7f48dd-83c2-481c-8be7-b57d896c49aa,316572,OB2017Tank1,8/30/2017 22:18,21.8,21.8° C,100,,,7/22/2017 10:56,22.8
587bf2e1-0cd1-40a8-8ec8-5ee07c1bb5c7,316572,OB2017Tank1,8/30/2017 22:08,21.8,21.8° C,100,,,7/22/2017 11:06,22.8
e05479d1-bcce-4498-b1ec-bd5505c17da2,316572,OB2017Tank1,8/30/2017 21:58,21.8,21.8° C,100,,,7/22/2017 11:16,22.8
a69d103b-7d6a-4e73-b791-4975effc63d8,316572,OB2017Tank1,8/30/2017 21:48,21.8,21.8° C,100,,,7/22/2017 11:25,22.7
5156973c-121f-4b96-9d58-0695ddd41fc5,316572,OB2017Tank1,8/30/2017 21:38,21.8,21.8° C,100,,,7/22/2017 11:35,22.8
9cff7491-48e9-4a11-b9f1-60ccfa6b5c79,316572,OB2017Tank1,8/30/2017 21:28,21.8,21.8° C,100,,,7/22/2017 11:45,22.8
97b99b0f-ada8-4ced-aa4e-090386114d75,316572,OB2017Tank1,8/30/2017 21:18,21.8,21.8° C,100,,,7/22/2017 11:55,22.8
1ae3a167-96d7-407a-878f-32bad7e0ad41,316572,OB2017Tank1,8/30/2017 21:08,21.8,21.8° C,100,,,7/22/2017 12:05,22.7
ae089581-bb25-423b-b754-52d400ada151,316572,OB2017Tank1,8/30/2017 20:59,21.8,21.8° C,100,,,7/22/2017 12:15,22.7
300691b9-d0ef-4a4a-9198-a7f595af78e3,316572,OB2017Tank1,8/30/2017 20:49,21.8,21.8° C,100,,,7/22/2017 12:25,22.8
f5ef6480-3e5a-4fd0-8b34-f8bde5cec936,316572,OB2017Tank1,8/30/2017 20:39,21.8,21.8° C,100,,,7/22/2017 12:35,22.8
7b07e819-7d5b-40dc-a918-e5488f454ab2,316572,OB2017Tank1,8/30/2017 20:29,21.9,21.9° C,100,,,7/22/2017 12:44,22.8
5283afef-c276-4e5b-9a95-5096268d7dfe,316572,OB2017Tank1,8/30/2017 20:19,21.9,21.9° C,100,,,7/22/2017 12:54,22.8
d97681a3-ad3f-452b-ad15-b82dc9899581,316572,OB2017Tank1,8/30/2017 20:09,21.9,21.9° C,100,,,7/22/2017 13:04,22.7
a8beabc5-71c9-4c45-ad25-6dd4255d8d46,316572,OB2017Tank1,8/30/2017 19:59,21.9,21.9° C,100,,,7/22/2017 13:14,22.8
377522b2-2341-47de-b541-701840882525,316572,OB2017Tank1,8/30/2017 19:49,21.9,21.9° C,100,,,7/22/2017 13:24,22.8
13cd71be-1435-4d9b-982a-57c7075697df,316572,OB2017Tank1,8/30/2017 19:39,21.9,21.9° C,100,,,7/22/2017 13:34,22.8
ae9549ac-1a68-4a25-9031-9aae953229f6,316572,OB2017Tank1,8/30/2017 19:29,21.9,21.9° C,100,,,7/22/2017 13:44,22.8
36006327-7fdf-4001-9590-af54192017cd,316572,OB2017Tank1,8/30/2017 19:19,21.9,21.9° C,100,,,7/22/2017 13:54,22.7
